# BiLBO Data Export. 
#  running time, centroid_hist_x, centroid_hist_y, peak_hist_x, peak_hist_y
1.469791692513000011e+09,6.439685272187915643e+02,3.774411460250522623e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791693154000044e+09,6.440635400389019196e+02,3.771156349868446114e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791693703999996e+09,6.453734560176272907e+02,3.762717538168436135e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791694259999990e+09,6.447357537473584443e+02,3.773562656186114737e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791694847000122e+09,6.500823687138266678e+02,3.779687533353487652e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791695396000147e+09,6.511485168420750824e+02,3.705329499306626531e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791695953999996e+09,6.515843739218838664e+02,3.669431226794177405e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791696518000126e+09,6.527519647328687142e+02,3.652195056535089748e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791697068000078e+09,6.524588112106587232e+02,3.637631430722312871e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791697620000124e+09,6.544307656890802036e+02,3.646434201382493256e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791698196000099e+09,6.537258501166382985e+02,3.641897718358098928e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791698743000031e+09,6.537762277608414934e+02,3.642915228588441323e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791699304000139e+09,6.536452147165339284e+02,3.645081757365986164e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791699868000031e+09,6.537923131646703041e+02,3.643665877938114477e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791700463000059e+09,6.539847226144191836e+02,3.644362106538821990e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791701019000053e+09,6.539909013824845943e+02,3.643970153389469715e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791701582000017e+09,6.538439849916022695e+02,3.644558363538120602e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791702134000063e+09,6.539468455616738538e+02,3.644369464900196363e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791702689000130e+09,6.541204717151774730e+02,3.646743524540985391e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791703254000187e+09,6.541608511563634920e+02,3.646426850047298558e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791703805999994e+09,6.541277655218824520e+02,3.642119620703832652e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791704369000196e+09,6.543803187877832670e+02,3.646449845147529345e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791704933000088e+09,6.538836416932905422e+02,3.639649357622776051e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791705483999968e+09,6.544356492577055633e+02,3.646868710914396274e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791706042999983e+09,6.549274450603547848e+02,3.648814741886080810e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791706605000019e+09,6.550324840846514007e+02,3.645441981315095745e+02,6.420000000000000000e+02,3.790000000000000000e+02
1.469791707152000189e+09,6.547958477028441848e+02,3.645916669795620351e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791707703000069e+09,6.548368891686094457e+02,3.646248973938611471e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791708268000126e+09,6.546555157457451060e+02,3.647443344774023331e+02,6.400000000000000000e+02,3.780000000000000000e+02
